cond_scale,column_task,column,desired_val,actual_val
1.0,diameter_x_mm,surface_volume_ratio,0.2729213712501378,0.19171120711992146
1.0,diameter_x_mm,elongation,0.2796018311254235,0.43394204990959157
1.0,diameter_x_mm,flatness,0.2525129595214813,0.31791674597624037
1.0,diameter_x_mm,max_3d_diameter_mm,141.2272719440172,123.76511240121671
1.0,diameter_x_mm,num_components,1.0,1.0
1.0,diameter_y_mm,diameter_x_mm,13.03711473941803,9.0
1.0,diameter_y_mm,diameter_y_mm,7.822268843650818,9.0
1.0,diameter_y_mm,diameter_z_mm,7.5,9.0
1.0,diameter_y_mm,volume_ml,0.5924429305216421,0.431
1.0,diameter_y_mm,sphericity,0.8466613063247257,0.8893239152617113
1.0,diameter_y_mm,surface_volume_ratio,0.6800782803200967,0.719888213615683
1.0,diameter_y_mm,elongation,0.6140082762863243,0.7400791995157956
1.0,diameter_y_mm,flatness,0.5810911188398268,0.6958369825924807
1.0,diameter_y_mm,max_3d_diameter_mm,14.240743423380927,10.78616937383172
1.0,diameter_y_mm,num_components,1.0,1.0
1.0,diameter_y_mm,diameter_x_mm,27.75782155990601,21.0
1.0,diameter_y_mm,diameter_y_mm,17.5312557220459,21.0
1.0,diameter_y_mm,diameter_z_mm,6.25,9.0
1.0,diameter_y_mm,volume_ml,1.4131107908208804,1.304
1.0,diameter_y_mm,sphericity,0.5692066030748564,0.7272069565182163
1.0,diameter_y_mm,surface_volume_ratio,0.7571038548399845,0.6086957030501102
1.0,diameter_y_mm,elongation,0.6246963546756372,0.5548225136077869
1.0,diameter_y_mm,flatness,0.2610089841186316,0.34968107205629306
1.0,diameter_y_mm,max_3d_diameter_mm,28.35080626192257,22.037927488186593
1.0,diameter_y_mm,num_components,1.0,1.0
1.0,diameter_y_mm,diameter_x_mm,28.3203125,18.0
1.0,diameter_y_mm,diameter_y_mm,22.4609375,33.0
1.0,diameter_y_mm,diameter_z_mm,12.5,12.0
1.0,diameter_y_mm,volume_ml,2.6394923528035434,3.636
1.0,diameter_y_mm,sphericity,0.6681046239900175,0.7475902885938285
1.0,diameter_y_mm,surface_volume_ratio,0.523760622701775,0.42067417190937845
1.0,diameter_y_mm,elongation,0.5907512717440262,0.5971083309124101
1.0,diameter_y_mm,flatness,0.4176478108705661,0.4388616750108837
1.0,diameter_y_mm,max_3d_diameter_mm,31.98228918149954,27.736761266358492
1.0,diameter_y_mm,num_components,1.0,1.0
1.0,diameter_y_mm,diameter_x_mm,20.93359375,0.0
1.0,diameter_y_mm,diameter_y_mm,24.57421875,0.0
1.0,diameter_y_mm,diameter_z_mm,18.0,0.0
1.0,diameter_y_mm,volume_ml,5.0140554475784285,0.0
1.0,diameter_y_mm,sphericity,0.7857723192200783,0.0
1.0,diameter_y_mm,surface_volume_ratio,0.3595762686703296,0.0
1.0,diameter_y_mm,elongation,0.7958262786198559,0.0
1.0,diameter_y_mm,flatness,0.7651483251486156,0.0
1.0,diameter_y_mm,max_3d_diameter_mm,29.59229646394084,0.0
1.0,diameter_y_mm,num_components,1.0,0.0
1.0,diameter_y_mm,diameter_x_mm,30.7265625,36.0
1.0,diameter_y_mm,diameter_y_mm,34.06640625,33.0
1.0,diameter_y_mm,diameter_z_mm,28.0,36.0
1.0,diameter_y_mm,volume_ml,13.686807867050163,16.979
1.0,diameter_y_mm,sphericity,0.6745424603499552,0.7761901817639734
1.0,diameter_y_mm,surface_volume_ratio,0.299714284360513,0.24240706695587197
1.0,diameter_y_mm,elongation,0.7716122374646444,0.8336011450497453
1.0,diameter_y_mm,flatness,0.6813595576984393,0.7351886264261626
1.0,diameter_y_mm,max_3d_diameter_mm,40.11630069157371,34.71276375071488
1.0,diameter_y_mm,num_components,1.0,1.0
1.0,diameter_y_mm,diameter_x_mm,39.375,36.0
1.0,diameter_y_mm,diameter_y_mm,41.484375,42.0
1.0,diameter_y_mm,diameter_z_mm,32.5,30.0
1.0,diameter_y_mm,volume_ml,21.774559020996094,18.486
1.0,diameter_y_mm,sphericity,0.7663033807455613,0.7990529329409862
1.0,diameter_y_mm,surface_volume_ratio,0.2259957438009609,0.22889040714087688
1.0,diameter_y_mm,elongation,0.8273545076849443,0.6808915717039221
1.0,diameter_y_mm,flatness,0.4684900986554676,0.47144387878183597
1.0,diameter_y_mm,max_3d_diameter_mm,50.36996911913387,43.79943866220616
1.0,diameter_y_mm,num_components,1.0,1.0
1.0,diameter_y_mm,diameter_x_mm,34.863293409347534,33.0
1.0,diameter_y_mm,diameter_y_mm,45.11720323562622,42.0
1.0,diameter_y_mm,diameter_z_mm,39.96638488769531,42.0
1.0,diameter_y_mm,volume_ml,28.371082919099422,29.096
1.0,diameter_y_mm,sphericity,0.743300980106925,0.8159172846932501
1.0,diameter_y_mm,surface_volume_ratio,0.2133179728790017,0.1927052566826196
1.0,diameter_y_mm,elongation,0.6504249260648903,0.5872115254971177
1.0,diameter_y_mm,flatness,0.5255320670350112,0.5354339168334059
1.0,diameter_y_mm,max_3d_diameter_mm,57.48357615764507,51.117192079724525
1.0,diameter_y_mm,num_components,1.0,1.0
1.0,diameter_y_mm,diameter_x_mm,66.828125,63.0
1.0,diameter_y_mm,diameter_y_mm,65.359375,69.0
1.0,diameter_y_mm,diameter_z_mm,64.5,60.0
1.0,diameter_y_mm,volume_ml,96.66208642578124,96.86
1.0,diameter_y_mm,sphericity,0.5902184400426296,0.814613330749216
1.0,diameter_y_mm,surface_volume_ratio,0.17853332590421822,0.12926604361320462
1.0,diameter_y_mm,elongation,0.8673645928653587,0.9072250366398057
1.0,diameter_y_mm,flatness,0.834454971421546,0.8273140906596376
1.0,diameter_y_mm,max_3d_diameter_mm,79.9577174027975,57.08203523134284
1.0,diameter_y_mm,num_components,1.0,1.0
1.0,diameter_y_mm,diameter_x_mm,47.6250228881836,48.0
1.0,diameter_y_mm,diameter_y_mm,71.43753433227539,63.0
1.0,diameter_y_mm,diameter_z_mm,55.0,57.0
1.0,diameter_y_mm,volume_ml,79.88971440429788,94.657
1.0,diameter_y_mm,sphericity,0.6946165696168711,0.7941007927034752
1.0,diameter_y_mm,surface_volume_ratio,0.16164987112648987,0.1336259839803184
1.0,diameter_y_mm,elongation,0.8111124125621689,0.7536017591738727
1.0,diameter_y_mm,flatness,0.6316122498024361,0.5291703014013673
1.0,diameter_y_mm,max_3d_diameter_mm,73.96516901806874,69.8160097647864
1.0,diameter_y_mm,num_components,1.0,1.0
1.0,diameter_y_mm,diameter_x_mm,184.546875,96.0
1.0,diameter_y_mm,diameter_y_mm,114.796875,96.0
1.0,diameter_y_mm,diameter_z_mm,168.99999999999997,96.0
1.0,diameter_y_mm,volume_ml,1027.6782465362548,392.519
1.0,diameter_y_mm,sphericity,0.3323614752074225,0.6800911204306387
