cond_scale,column,desired_val,actual_val
1.0,diameter_x_mm,9.726563930511475,0.0
1.0,diameter_y_mm,8.916016936302185,0.0
1.0,diameter_z_mm,7.5,0.0
1.0,original_shape_Elongation,0.9022755811278974,0.6708203932499369
1.0,original_shape_Flatness,0.8052599424316179,0.6708203932499369
1.0,original_shape_LeastAxisLength,6.916119604184885,7.542472332656507
1.0,original_shape_MajorAxisLength,8.58867955520114,11.243653902820904
1.0,original_shape_Maximum2DDiameterColumn,10.042711082886278,8.94427190999916
1.0,original_shape_Maximum2DDiameterRow,9.60616472977425,12.649110640673518
1.0,original_shape_Maximum2DDiameterSlice,9.86072977084423,12.649110640673518
1.0,original_shape_Maximum3DDiameter,10.332904904368483,13.2664991614216
1.0,original_shape_MeshVolume,298.41555492057523,413.3333333333333
1.0,original_shape_MinorAxisLength,7.7493558367904,7.542472332656507
1.0,original_shape_Sphericity,0.7951250307422678,0.9012757627448875
1.0,original_shape_SurfaceArea,271.5999404881877,297.7328257915873
1.0,original_shape_SurfaceVolumeRatio,0.9101400245723428,0.7203213527215822
1.0,original_shape_VoxelVolume,307.1411559416447,576.0
1.0,diameter_x_mm,9.726563930511475,0.0
1.0,diameter_y_mm,8.916016936302185,0.0
1.0,diameter_z_mm,7.5,0.0
1.0,original_shape_Elongation,0.9022755811278974,0.8660254037844387
1.0,original_shape_Flatness,0.8052599424316179,0.5773502691896258
1.0,original_shape_LeastAxisLength,6.916119604184885,5.333333333333335
1.0,original_shape_MajorAxisLength,8.58867955520114,9.237604307034013
1.0,original_shape_Maximum2DDiameterColumn,10.042711082886278,8.94427190999916
1.0,original_shape_Maximum2DDiameterRow,9.60616472977425,8.94427190999916
1.0,original_shape_Maximum2DDiameterSlice,9.86072977084423,8.94427190999916
1.0,original_shape_Maximum3DDiameter,10.332904904368483,9.797958971132712
1.0,original_shape_MeshVolume,298.41555492057523,250.66666666666666
1.0,original_shape_MinorAxisLength,7.7493558367904,8.0
1.0,original_shape_Sphericity,0.7951250307422678,0.8877653071842392
1.0,original_shape_SurfaceArea,271.5999404881877,216.56271083205166
1.0,original_shape_SurfaceVolumeRatio,0.9101400245723428,0.8639469847023338
1.0,original_shape_VoxelVolume,307.1411559416447,384.0
1.0,diameter_x_mm,9.726563930511475,0.0
1.0,diameter_y_mm,8.916016936302185,0.0
1.0,diameter_z_mm,7.5,0.0
1.0,original_shape_Elongation,0.9022755811278974,0.9999999999999999
1.0,original_shape_Flatness,0.8052599424316179,0.7559289460184544
1.0,original_shape_LeastAxisLength,6.916119604184885,6.464976285134148
1.0,original_shape_MajorAxisLength,8.58867955520114,8.55235974119758
1.0,original_shape_Maximum2DDiameterColumn,10.042711082886278,8.94427190999916
1.0,original_shape_Maximum2DDiameterRow,9.60616472977425,8.94427190999916
1.0,original_shape_Maximum2DDiameterSlice,9.86072977084423,8.94427190999916
1.0,original_shape_Maximum3DDiameter,10.332904904368483,9.797958971132712
1.0,original_shape_MeshVolume,298.41555492057523,312.0
1.0,original_shape_MinorAxisLength,7.7493558367904,8.552359741197579
1.0,original_shape_Sphericity,0.7951250307422678,0.9150803557962287
1.0,original_shape_SurfaceArea,271.5999404881877,243.1054087936179
1.0,original_shape_SurfaceVolumeRatio,0.9101400245723428,0.7791840025436471
1.0,original_shape_VoxelVolume,307.1411559416447,448.0
1.0,diameter_x_mm,62.0546875,0.0
1.0,diameter_y_mm,44.890625,0.0
1.0,diameter_z_mm,51.099999129772186,0.0
1.0,original_shape_Elongation,0.8351086461701077,0.8448950206846334
1.0,original_shape_Flatness,0.6041380394849467,0.6063835381624544
1.0,original_shape_LeastAxisLength,33.54769513126785,34.0340689843785
1.0,original_shape_MajorAxisLength,55.52985069417031,56.12630759653065
1.0,original_shape_Maximum2DDiameterColumn,62.520839372749215,62.609903369994115
1.0,original_shape_Maximum2DDiameterRow,55.08649735547797,62.0966987850401
1.0,original_shape_Maximum2DDiameterSlice,62.27901606709242,57.271284253105414
1.0,original_shape_Maximum3DDiameter,63.81850863663162,63.118935352238
1.0,original_shape_MeshVolume,60196.77929991737,62445.333333333336
1.0,original_shape_MinorAxisLength,46.37345843523678,47.42083781772286
1.0,original_shape_Sphericity,0.6550102547389162,0.8430562087159992
1.0,original_shape_SurfaceArea,11340.134244952487,9028.749119484168
1.0,original_shape_SurfaceVolumeRatio,0.18838440157159786,0.14458645086076624
1.0,original_shape_VoxelVolume,60238.01383621327,63296.0
1.0,diameter_x_mm,62.0546875,0.0
1.0,diameter_y_mm,44.890625,0.0
1.0,diameter_z_mm,51.099999129772186,0.0
1.0,original_shape_Elongation,0.8351086461701077,0.8565996407179274
1.0,original_shape_Flatness,0.6041380394849467,0.6487340873178783
1.0,original_shape_LeastAxisLength,33.54769513126785,36.176166855648255
1.0,original_shape_MajorAxisLength,55.52985069417031,55.76424541712422
1.0,original_shape_Maximum2DDiameterColumn,62.520839372749215,62.609903369994115
1.0,original_shape_Maximum2DDiameterRow,55.08649735547797,62.0966987850401
1.0,original_shape_Maximum2DDiameterSlice,62.27901606709242,57.271284253105414
1.0,original_shape_Maximum3DDiameter,63.81850863663162,63.118935352238
1.0,original_shape_MeshVolume,60196.77929991737,67200.0
1.0,original_shape_MinorAxisLength,46.37345843523678,47.767632589214934
1.0,original_shape_Sphericity,0.6550102547389162,0.8481088422603649
1.0,original_shape_SurfaceArea,11340.134244952487,9424.942631747826
1.0,original_shape_SurfaceVolumeRatio,0.18838440157159786,0.1402521224962474
1.0,original_shape_VoxelVolume,60238.01383621327,68096.0
1.0,diameter_x_mm,62.0546875,0.0
1.0,diameter_y_mm,44.890625,0.0
