timestamp,node,ct0_bdmap,ct1_bdmap,organ,mode,dice,saved_path
2026-07-14T11:21:44,gpu313_541234,BDMAP_00183713,BDMAP_00170231,gallbladder,mask,0.754987,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00170231_to_BDMAP_00183713_gallbladder.h5
2026-07-14T11:22:10,gpu313_541234,BDMAP_00041477,BDMAP_00045139,spleen,mask,0.842623,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00045139_to_BDMAP_00041477_spleen.h5
2026-07-14T11:22:27,gpu313_541234,BDMAP_00160737,BDMAP_00183713,gallbladder,mask,0.549442,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00183713_to_BDMAP_00160737_gallbladder.h5
2026-07-14T11:22:44,gpu313_541234,BDMAP_00172832,BDMAP_00170231,gallbladder,mask,0.742702,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00170231_to_BDMAP_00172832_gallbladder.h5
2026-07-14T11:23:12,gpu313_541234,BDMAP_00168378,BDMAP_00184572,spleen,mask,0.515763,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00184572_to_BDMAP_00168378_spleen.h5
2026-07-14T11:23:25,gpu313_541234,BDMAP_00036208,BDMAP_00063068,duodenum,mask,0.059467,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00063068_to_BDMAP_00036208_duodenum.h5
2026-07-14T11:23:58,gpu313_541234,BDMAP_00062189,BDMAP_00060916,prostate,mask,0.727125,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00060916_to_BDMAP_00062189_prostate.h5
2026-07-14T11:24:20,gpu313_541234,BDMAP_00131080,BDMAP_00036233,spleen,mask,0.149472,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00036233_to_BDMAP_00131080_spleen.h5
2026-07-14T11:24:53,gpu313_541234,BDMAP_00045991,BDMAP_00045665,uterus,mask,0.011917,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00045665_to_BDMAP_00045991_uterus.h5
2026-07-14T11:25:14,gpu313_541234,BDMAP_00184636,BDMAP_00183688,stomach,mask,0.435577,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00183688_to_BDMAP_00184636_stomach.h5
2026-07-14T11:25:39,gpu313_541234,BDMAP_00061916,BDMAP_00060992,prostate,mask,0.003118,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00060992_to_BDMAP_00061916_prostate.h5
2026-07-14T11:26:19,gpu313_541234,BDMAP_00059636,BDMAP_00059256,stomach,mask,0.771655,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00059256_to_BDMAP_00059636_stomach.h5
2026-07-14T11:26:35,gpu313_541234,BDMAP_00063370,BDMAP_00039623,duodenum,mask,0.553159,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00039623_to_BDMAP_00063370_duodenum.h5
2026-07-14T11:27:01,gpu313_541234,BDMAP_00135837,BDMAP_00131080,spleen,mask,0.429152,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00131080_to_BDMAP_00135837_spleen.h5
2026-07-14T11:27:26,gpu313_541234,BDMAP_00185404,BDMAP_00180468,uterus,mask,0.812851,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00180468_to_BDMAP_00185404_uterus.h5
2026-07-14T11:27:52,gpu313_541234,BDMAP_00135837,BDMAP_00052291,spleen,mask,0.105878,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00052291_to_BDMAP_00135837_spleen.h5
2026-07-14T11:28:42,gpu313_541234,BDMAP_00056483,BDMAP_00069426,gallbladder,mask,0.539561,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00069426_to_BDMAP_00056483_gallbladder.h5
